HP:0000003	['Multicystic dysplastic kidney', 'Multicystic kidneys', 'Multicystic renal dysplasia']
HP:0000006	['Autosomal dominant', 'Autosomal dominant form', 'Autosomal dominant type', 'monoallelic_autosomal']
HP:0000007	['Autosomal recessive', 'Autosomal recessive form', 'Autosomal recessive predisposition', 'biallelic_autosomal']
HP:0000010	['Frequent urinary tract infections', 'Recurrent UTIs', 'Repeated bladder infections', 'Repeated urinary tract infections', 'Urinary tract infections', 'Urinary tract infections, recurrent']
HP:0000012	['Overactive bladder', 'Overactive bladder syndrome', 'Urgency frequency syndrome', 'Urgent micturition', 'Urinary urgency']
HP:0000013	['Hypoplastic uterus', 'Rudimentary uterus', 'Small uterus', 'Underdeveloped uterus']
HP:0000020	['Bladder incontinence', 'Loss of bladder control']
HP:0000028	['Cryptorchism', 'Undescended testes', 'Undescended testis']
HP:0000034	['Hydrocele', 'Testicular hydrocele']
HP:0000035	['Abnormality of the testis', 'Anomaly of the testes']
HP:0000040	['Enlarged penis', 'Long penis']
HP:0000044	['Hypogonadotrophic hypogonadism', 'Isolated hypogonadotropic hypogonadism', 'Low gonadotropins (secondary hypogonadism)']
HP:0000046	['Hypoplastic scrotum', 'Scrotal hypoplasia', 'Smaller than typical growth of scrotum', 'Underdeveloped scrotum']
HP:0000048	['Cleft of scrotum', 'Scrotal cleft']
HP:0000049	['Overriding scrotum', 'Scrotum surrounds penis']
HP:0000050	['Hypoplastic male genitalia', 'Small male external genitalia', 'Underdeveloped male genitalia']
HP:0000053	['Large testicles', 'Large testis']
HP:0000054	['Short penis', 'Small penis']
HP:0000055	['Abnormal female external genitalia', 'Abnormality of female external genitalia']
HP:0000056	['Abnormality of the clit', 'Abnormality of the clitoris']
HP:0000059	['Hypoplasia of labia majora', 'Small labia majora', 'Underdeveloped vaginal lips']
HP:0000060	['Hypoplastic clitoris', 'Small clitoris', 'Underdeveloped clit']
HP:0000061	['Ambiguous genitalia due to virilization', 'Atypical appearance of female genitals']
HP:0000062	['Ambiguous external genitalia', 'Ambiguous external genitalia at birth', 'Intersex genitalia']
HP:0000065	['Enlarged vaginal lips', 'Enlargement of the labia', 'Enlargement of the vaginal lips']
HP:0000066	['Hypoplastic labia', 'Underdeveloped labia']
HP:0000068	['Absent urethral opening', 'Urethral opening absent']
HP:0000069	['Abnormality of the ureters', 'Ureter issue', 'Ureteral anomalies']
HP:0000071	['Narrowing of the ureter', 'Ureteric stenosis']
HP:0000072	['Dilated ureter', 'Megaureter', 'Swelling of ureter', 'Ureteral dilatation', 'Uroureter', 'Wide ureter']
HP:0000074	['Pelviureteric junction obstruction', 'Ureteropelvic junction stenosis']
HP:0000075	['Extra kidney', 'Supernumerary kidney']
HP:0000076	['Ureteral reflux', 'Ureteric reflux', 'Vesico-ureteral reflux', 'Vesicoureteric reflux', 'VUR']
HP:0000077	['Abnormal kidney', 'Abnormality of the kidney', 'Renal anomalies', 'Renal anomaly']
HP:0000078	['Abnormality of the reproductive system', 'Genital abnormalities', 'Genital abnormality', 'Genital anomalies', 'Genital defects']
HP:0000079	['Urinary tract abnormalities', 'Urinary tract abnormality', 'Urinary tract anomalies']
HP:0000080	['Abnormality of genital physiology', 'Abnormality of reproductive system physiology', 'Genital functional abnormality']
HP:0000081	['Double collecting system', 'Double urinary collecting systems on intravenous pyelography', 'Duplex collecting system', 'Duplicated renal collecting system']
HP:0000083	['Renal failure', 'Renal failure in adulthood']
HP:0000085	['Fused kidneys', 'Horseshoe kidney', 'Horseshoe kidneys']
HP:0000086	['Abnormal kidney location', 'Displaced kidney', 'Ectopic kidneys', 'Renal ectopia']
HP:0000089	['Hypoplastic kidney', 'Hypoplastic kidneys', 'Small kidneys', 'Underdeveloped kidneys']
HP:0000091	['Abnormality of the renal tubule', 'Morphologic abnormality of the renal tubules']
HP:0000092	['Renal tubular cell atrophy', 'Tubular atrophy']
HP:0000093	['High urine protein levels', 'Protein in urine']
HP:0000095	['Abnormality of renal glomerulus morphology', 'Morphologic abnormality of the renal glomerulus']
HP:0000096	['Glomerulosclerosis', 'Renal glomerular fibrosis']
HP:0000097	['Focal and segmental glomerular sclerosis', 'Focal and segmental glomerulosclerosis', 'focal glomerulosclerosis']
HP:0000098	['Accelerated linear growth', 'Increased body height', 'Increased linear growth', 'Tall stature']
HP:0000104	['Absent kidney', 'Missing kidney', 'Renal aplasia']
HP:0000105	['Enlarged kidney', 'Large kidney', 'Large kidneys', 'Nephromegaly', 'Renal enlargement']
HP:0000107	['Cystic kidney disease', 'Cystic kidneys', 'Kidney cyst', 'Renal cysts']
HP:0000108	['Corticomedullary renal cysts', 'Renal corticomedullary cystic disease']
HP:0000110	['Dysplastic kidneys', 'Renal adysplasia']
HP:0000112	['Kidney damage', 'Kidney disease']
