0,HP:0000001,Todos
1,HP:0000002,Anomalía de la estatura
2,HP:0000003,Displasia renal multiquística
3,HP:0000005,Modo de herencia
4,HP:0000006,Herencia autosómica dominante
5,HP:0000007,Herencia autosómica recesiva
6,HP:0000008,Anomalía de los genitales internos femeninos
7,HP:0000009,Anomalía funcional de la vejiga
8,HP:0000010,Infecciones del tracto urinario a repetición
9,HP:0000011,Vejiga neurogénica
10,HP:0000012,Urgencia urinaria
11,HP:0000013,Hipoplasia del útero
12,HP:0000014,Anomalía de la vejiga
13,HP:0000015,Divertículo vesical
14,HP:0000016,Retención urinaria
15,HP:0000017,Nicturia
16,HP:0000019,Dificultad para la micción
17,HP:0000020,Incontinencia urinaria
18,HP:0000021,Megavejiga
19,HP:0000022,Anomalía de los genitales internos masculinos
20,HP:0000023,Hernia inguinal
21,HP:0000024,Prostatitis
22,HP:0000025,Anomalía funcional de los genitales internos masculinos
23,HP:0000026,Hipogonadismo masculino
24,HP:0000027,Azoospermia
25,HP:0000028,Criptorquidia
26,HP:0000029,Atrofia testicular
27,HP:0000030,Gonadoblastoma testicular
28,HP:0000031,Epididimitis
29,HP:0000032,Anomalía de los genitales externos masculinos
30,HP:0000033,"Genitales ambiguos, masculino"
31,HP:0000034,Hidrocele testicular
32,HP:0000035,Anomalía del testículo
33,HP:0000036,Anomalía del pene
34,HP:0000037,Pseudohermafroditismo masculino
35,HP:0000039,Epispadias
36,HP:0000040,Pene agrandado
37,HP:0000041,Incurvación congénita del pene
38,HP:0000042,Genitales externos ausentes
39,HP:0000044,Hipogonadismo hipogonadotrófico
40,HP:0000045,Anomalía del escroto
41,HP:0000046,Hipoplasia escrotal
42,HP:0000047,Hipospadias
43,HP:0000048,Escroto bífido
44,HP:0000049,Escroto en chal
45,HP:0000050,Genitales externos masculinos hipoplásicos
46,HP:0000051,Hipospadias perineales
47,HP:0000052,"Atresia uretral, hombre"
48,HP:0000053,Macroorquidia
49,HP:0000054,Micropene
50,HP:0000055,Anomalía de los genitales externos femeninos
51,HP:0000056,Anomalía del clítoris
52,HP:0000058,Anomalía de los labios
53,HP:0000059,Labios mayores hipoplásicos
54,HP:0000060,Hipoplasia del clítoris
55,HP:0000061,"Genitales ambiguos, hembra"
56,HP:0000062,Genitales ambiguos
57,HP:0000063,Labios menores fusionados
58,HP:0000064,Labios menores hipoplásicos
59,HP:0000065,Hipertrofia labial
60,HP:0000066,Hipoplasia labial
61,HP:0000067,"Atresia uretral, hembra"
62,HP:0000068,Atresia uretral
63,HP:0000069,Anomalía del uréter
64,HP:0000070,Ureterocele
65,HP:0000071,Estenosis ureteral
66,HP:0000072,Hidrouréter
67,HP:0000073,Duplicación ureteral
68,HP:0000074,Obstrucción de la unión ureteropélvica
69,HP:0000075,Duplicación renal
70,HP:0000076,Reflujo vesicoureteral
71,HP:0000077,Anomalía del riñón
72,HP:0000078,Anomalía del sistema genital
73,HP:0000079,Anomalía del sistema urinario
74,HP:0000080,Anomalía de la función genital
75,HP:0000081,Duplicación del sistema colector
76,HP:0000083,Insuficiencia renal
77,HP:0000085,Riñón en herradura
78,HP:0000086,Riñón ectópico
79,HP:0000089,Hipoplasia renal
80,HP:0000090,Nefronoptisis
81,HP:0000091,Anomalía del túbulo renal
82,HP:0000092,Atrofia tubular
83,HP:0000093,Proteinuria
84,HP:0000095,Anomalía del glomérulo
85,HP:0000096,Glomeruloesclerosis
86,HP:0000097,Glomeruloesclerosis focal y segmentaria
87,HP:0000098,Talla alta
88,HP:0000099,Glomerulonefritis
89,HP:0000100,Síndrome nefrótico
90,HP:0000103,Poliuria
91,HP:0000104,Agenesia renal
92,HP:0000105,Agrandamiento de los riñones
93,HP:0000107,Quiste renal
94,HP:0000108,Quistes renales corticomedulares
95,HP:0000110,Displasia renal
96,HP:0000111,Hipertrofia / hiperplasia de las células renales yuxtaglomerulares
97,HP:0000112,Nefropatía
98,HP:0000113,Displasia renal poliquística
99,HP:0000114,Tubulopatía proximal
100,HP:0000117,Perdida renal de fosfato
101,HP:0000118,Anomalía fenotípica
102,HP:0000119,Anomalía del sistema genitourinario
103,HP:0000121,Nefrocalcinosis
104,HP:0000122,Agenesia renal unilateral
105,HP:0000123,Nefritis
106,HP:0000124,Disfunción renal tubular
107,HP:0000125,Riñón pélvico
108,HP:0000126,Hidronefrosis
109,HP:0000127,Perdida renal de sal
110,HP:0000128,Perdida de potasio urinario
111,HP:0000130,Anomalía del útero
112,HP:0000131,Leiomioma uterino
113,HP:0000132,Menorragia
114,HP:0000133,Disgenesia gonadal
115,HP:0000134,Hipogonadismo en mujer
116,HP:0000135,Hipogonadismo
117,HP:0000136,Útero bífido
118,HP:0000137,Anomalía del ovario
119,HP:0000138,Quiste ovárico
120,HP:0000139,Prolapso uterino
121,HP:0000140,Anomalía del ciclo menstrual
122,HP:0000141,Amenorrea
123,HP:0000142,Anomalía de la vagina
124,HP:0000143,Fístula rectovaginal
125,HP:0000144,Disminución de la fertilidad
126,HP:0000145,Tabique vaginal transverso
127,HP:0000147,Ovarios poliquísticos
128,HP:0000148,Atresia vaginal
129,HP:0000149,Gonadoblastoma ovarico
130,HP:0000150,Gonadoblastoma
131,HP:0000151,Aplasia del útero
132,HP:0000152,Anomalía de la cabeza y el cuello
133,HP:0000153,Anomalía de la boca
134,HP:0000154,Boca ancha
135,HP:0000155,Úlcera oral
136,HP:0000157,Anomalía de la lengua
137,HP:0000158,Macroglosia
138,HP:0000159,Anomalía del labio
139,HP:0000160,Boca estrecha
140,HP:0000161,Hendidura central de labio
141,HP:0000162,Glosoptosis
142,HP:0000163,Anomalía de la cavidad oral
143,HP:0000164,Anomalía de los dientes
144,HP:0000166,Periodontitis severa
145,HP:0000168,Anomalía de la encía
146,HP:0000169,Fibromatosis gingival
147,HP:0000171,Microglosia
148,HP:0000172,Anomalía de la úvula
149,HP:0000174,Anomalía del paladar
150,HP:0000175,Hendidura de paladar
151,HP:0000176,Hendidura submucosa de paladar duro
152,HP:0000177,Anomalía del labio superior
153,HP:0000178,Anomalía del labio inferior
154,HP:0000179,Bermellón del labio inferior grueso
155,HP:0000180,Lengua lobulada
156,HP:0000182,Anomalía del movimiento de la lengua
157,HP:0000183,Dificultad en los movimientos de la lengua
158,HP:0000185,Hendidura del paladar blando (velo del paladar)
159,HP:0000187,Rebordes alveolares anchos
160,HP:0000188,Labio superior corto
161,HP:0000189,Paladar estrecho
162,HP:0000190,Anomalía del frenillo bucal
163,HP:0000191,Frenillo oral accesorio
164,HP:0000193,Úvula bífida
165,HP:0000194,Boca abierta
166,HP:0000196,Fosita o muesca (pit) de labio inferior
167,HP:0000197,Anomalía de la glándula parótida
168,HP:0000198,Ausencia de conducto Stensen
169,HP:0000199,Nódulos linguales
170,HP:0000200,Frenillo lingual corto
171,HP:0000201,Secuencia de Pierre-Robin
172,HP:0000202,Hendidura oral
173,HP:0000204,Hendidura del labio superior
174,HP:0000205,Labios fruncidos
175,HP:0000206,Glositis
176,HP:0000207,Boca triangular
177,HP:0000211,Trismus
178,HP:0000212,Hiperplasia gingival
179,HP:0000214,Telangiectasia del labio
180,HP:0000215,Bermellón del labio superior grueso
181,HP:0000216,Reborde alveolar secundario ancho
182,HP:0000217,Xerostomía
183,HP:0000218,Paladar alto
184,HP:0000219,Bermellón del labio superior fino
185,HP:0000220,Insuficiencia velofaríngea
186,HP:0000221,Aumento de los surcos del dorso de la lengua
187,HP:0000222,Hiperqueratosis gingival
188,HP:0000223,Anomalía del sentido del gusto
189,HP:0000224,Disminución del sentido del gusto
190,HP:0000225,Sangrado gingival
191,HP:0000227,Telangiectasia linguales
192,HP:0000228,Teleangiectasia de la cavidad oral
193,HP:0000230,Gingivitis
194,HP:0000232,Eversión del bermellón del labio inferior
195,HP:0000233,Borde del bermellón fino
196,HP:0000234,Anomalía de la cabeza
197,HP:0000235,Anomalía de las fontanelas y suturas craneales
198,HP:0000236,Anomalía de la fontanela anterior
199,HP:0000237,Fontanela anterior pequeña
200,HP:0000238,Hidrocefalia
201,HP:0000239,Fontanelas amplias
202,HP:0000240,Anomalía del tamaño del cráneo
203,HP:0000242,Abombamiento parietal
204,HP:0000243,Trigonocefalia
205,HP:0000244,Braquiturricefalia
206,HP:0000245,Anomalía de los senos
207,HP:0000246,Sinusitis
208,HP:0000248,Braquicefalia
209,HP:0000250,Aumento de la densidad ósea de la bóveda craneal
210,HP:0000252,Microcefalia
211,HP:0000253,Microcefalia progresiva
212,HP:0000255,Sinusitis aguda
213,HP:0000256,Macrocefalia
214,HP:0000260,Fontanela anterior amplia
215,HP:0000262,Turricefalia
216,HP:0000263,"Oxicefalia, forma cónica del cráneo"
217,HP:0000264,Anomalía de la mastoides
218,HP:0000265,Mastoiditis
219,HP:0000267,Asimetría craneal
220,HP:0000268,Dolicocefalia
221,HP:0000269,Occipucio prominente
222,HP:0000270,Retraso del cierre de la sutura craneal
223,HP:0000271,Anomalía de la cara
224,HP:0000272,Aplanamiento malar
225,HP:0000273,Muecas faciales
